;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Period;;;Minimum bid rate in the Eurosystem's main refinancing operations (1);Japan: uncollateralized overnight call rate (2);Sweden: repo rate;;United Kingdom: repo rate;;US fed funds target rate
;;11;4,50;0,30;4,00;;5,25;;5,50
;;8;4,50;0,30;4,00;;5,25;;5,50
;;7;4,50;0,30;4,00;;5,25;;5,50
;;6;4,50;0,30;4,00;;5,25;;5,50
;;5;4,50;0,30;4,00;;5,25;;5,50
;;4;4,50;0,30;4,00;;5,25;;5,50
;;1;4,50;0,30;4,00;;5,25;;5,50
;;;4,50;0,30;4,00;;5,25;;5,50
;Nov;30;4,50;0,30;4,00;;5,25;;5,50
;;29;4,50;0,30;4,00;;5,25;;5,50
;;28;4,50;0,30;4,00;;5,25;;5,50
;;27;4,50;0,30;4,00;;5,25;;5,50
;;24;4,50;0,30;4,00;;5,25;;5,50
;;23;4,50;0,30;4,00;;5,25;;5,50
;;22;;0,30;4,00;;5,25;;5,50
;;21;4,50;0,30;4,00;;5,25;;5,50
;;20;4,50;0,30;4,00;;5,25;;5,50
;;17;4,50;0,30;4,00;;5,25;;5,50
;;16;4,50;0,30;4,00;;5,25;;5,50
;;15;4,50;0,30;4,00;;5,25;;5,50
;;14;4,50;0,30;4,00;;5,25;;5,50
;;13;4,50;0,30;4,00;;5,25;;5,50
;;10;4,50;0,30;4,00;;5,25;;5,50
;;9;4,50;0,30;4,00;;5,25;;5,50
;;8;4,50;0,30;4,00;;5,25;;5,50
;;7;4,50;0,30;4,00;;5,25;;5,50
;;6;4,50;0,30;4,00;;5,25;;5,50
;;3;4,50;0,30;4,00;;5,25;;5,50
;;2;4,50;0,30;4,00;;5,25;;5,50
;;1;4,50;0,30;4,00;;5,25;;5,50
;;;4,50;0,30;4,00;;5,25;;5,50
;Oct;31;4,50;0,30;4,00;;5,25;;5,50
;;30;4,50;0,30;4,00;;5,25;;5,50
;;27;4,50;0,30;4,00;;5,25;;5,50
;;26;4,50;0,30;4,00;;5,25;;5,50
;;25;4,50;0,30;4,00;;5,25;;5,50
;;24;4,50;0,30;4,00;;5,25;;5,50
;;23;4,50;0,30;4,00;;5,25;;5,50
;;20;4,50;0,30;4,00;;5,25;;5,50
;;19;4,50;0,30;4,00;;5,25;;5,50
