,gdp_us,gdp_uk,gdp_jp,gdp_ez,unrate_us,unrate_uk,unrate_jp,unrate_ez,m0_us,m0_jp,m0_ez,ir_us,ir_uk,ir_deposit_ez,ir_lending_ez,ir_MRO_ez,ir_jp
2003-01-01,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-02,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-03,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-04,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-05,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-06,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-07,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-08,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-09,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-10,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-11,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-12,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-13,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-14,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-15,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-16,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-17,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-18,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-19,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-20,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-21,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-22,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-23,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-24,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-25,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-26,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-27,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-28,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-29,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-30,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,480453.0,1.24,4,1.75,3.75,2.75,0.1
2003-01-31,11174.129,307455.0,521370.5,1930334.0,5.8,5.1,5.7,9.1,699300.0,932290,485761.0,1.24,4,1.75,3.75,2.75,0.1
2003-02-01,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,4,1.75,3.75,2.75,0.1
2003-02-02,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,4,1.75,3.75,2.75,0.1
2003-02-03,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,4,1.75,3.75,2.75,0.1
2003-02-04,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,4,1.75,3.75,2.75,0.1
2003-02-05,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,4,1.75,3.75,2.75,0.1
2003-02-06,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-07,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-08,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-09,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-10,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-11,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-12,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-13,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-14,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-15,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-16,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-17,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-18,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-19,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-20,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-21,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-22,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-23,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-24,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-25,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-26,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-27,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,485761.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-02-28,11174.129,307455.0,521370.5,1930334.0,5.9,5.2,5.5,9.1,701000.0,938185,472153.0,1.26,"3,75",1.75,3.75,2.75,0.1
2003-03-01,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.75,3.75,2.75,0.1
2003-03-02,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.75,3.75,2.75,0.1
2003-03-03,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.75,3.75,2.75,0.1
2003-03-04,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.75,3.75,2.75,0.1
2003-03-05,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.75,3.75,2.75,0.1
2003-03-06,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.75,3.75,2.75,0.1
2003-03-07,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-08,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-09,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-10,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-11,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-12,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-13,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-14,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-15,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-16,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-17,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-18,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-19,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-20,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-21,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-22,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-23,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-24,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-25,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-26,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-27,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-28,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-29,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-30,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,472153.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-03-31,11174.129,307455.0,521370.5,1930334.0,5.9,5.1,5.7,9.2,705300.0,954069,477515.0,1.25,"3,75",1.5,3.5,2.5,0.1
2003-04-01,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-02,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-03,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-04,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-05,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-06,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-07,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-08,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-09,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-10,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-11,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-12,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-13,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-14,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-15,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-16,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-17,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-18,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-19,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-20,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-21,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-22,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-23,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-24,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-25,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-26,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-27,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-28,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-29,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,477515.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-04-30,11312.766,313102.0,524533.5,1943123.3,6.0,5.0,5.7,9.2,709600.0,998804,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-01,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-02,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-03,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-04,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-05,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-06,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-07,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-08,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-09,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-10,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-11,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-12,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-13,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-14,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-15,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-16,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-17,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-18,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-19,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-20,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-21,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-22,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-23,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-24,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-25,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-26,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-27,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-28,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-29,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-30,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,489342.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-05-31,11312.766,313102.0,524533.5,1943123.3,6.1,4.9,5.7,9.2,713700.0,1009367,497303.0,1.26,"3,75",1.5,3.5,2.5,0.1
2003-06-01,11312.766,313102.0,524533.5,1943123.3,6.3,5.1,5.6,9.2,715000.0,1038017,497303.0,1.22,"3,75",1.5,3.5,2.5,0.1
2003-06-02,11312.766,313102.0,524533.5,1943123.3,6.3,5.1,5.6,9.2,715000.0,1038017,497303.0,1.22,"3,75",1.5,3.5,2.5,0.1
2003-06-03,11312.766,313102.0,524533.5,1943123.3,6.3,5.1,5.6,9.2,715000.0,1038017,497303.0,1.22,"3,75",1.5,3.5,2.5,0.1
2003-06-04,11312.766,313102.0,524533.5,1943123.3,6.3,5.1,5.6,9.2,715000.0,1038017,497303.0,1.22,"3,75",1.5,3.5,2.5,0.1
2003-06-05,11312.766,313102.0,524533.5,1943123.3,6.3,5.1,5.6,9.2,715000.0,1038017,497303.0,1.22,"3,75",1.5,3.5,2.5,0.1
2003-06-06,11312.766,313102.0,524533.5,1943123.3,6.3,5.1,5.6,9.2,715000.0,1038017,497303.0,1.22,"3,75",1.0,3.0,2.0,0.1
2003-06-07,11312.766,313102.0,524533.5,1943123.3,6.3,5.1,5.6,9.2,715000.0,1038017,497303.0,1.22,"3,75",1.0,3.0,2.0,0.1
2003-06-08,11312.766,313102.0,524533.5,1943123.3,6.3,5.1,5.6,9.2,715000.0,1038017,497303.0,1.22,"3,75",1.0,3.0,2.0,0.1
2003-06-09,11312.766,313102.0,524533.5,1943123.3,6.3,5.1,5.6,9.2,715000.0,1038017,497303.0,1.22,"3,75",1.0,3.0,2.0,0.1
2003-06-10,11312.766,313102.0,524533.5,1943123.3,6.3,5.1,5.6,9.2,715000.0,1038017,497303.0,1.22,"3,75",1.0,3.0,2.0,0.1
2003-06-11,11312.766,313102.0,524533.5,1943123.3,6.3,5.1,5.6,9.2,715000.0,1038017,497303.0,1.22,"3,75",1.0,3.0,2.0,0.1
2003-06-12,11312.766,313102.0,524533.5,1943123.3,6.3,5.1,5.6,9.2,715000.0,1038017,497303.0,1.22,"3,75",1.0,3.0,2.0,0.1
2003-06-13,11312.766,313102.0,524533.5,1943123.3,6.3,5.1,5.6,9.2,715000.0,1038017,497303.0,1.22,"3,75",1.0,3.0,2.0,0.1
2003-06-14,11312.766,313102.0,524533.5,1943123.3,6.3,5.1,5.6,9.2,715000.0,1038017,497303.0,1.22,"3,75",1.0,3.0,2.0,0.1
2003-06-15,11312.766,313102.0,524533.5,1943123.3,6.3,5.1,5.6,9.2,715000.0,1038017,497303.0,1.22,"3,75",1.0,3.0,2.0,0.1
2003-06-16,11312.766,313102.0,524533.5,1943123.3,6.3,5.1,5.6,9.2,715000.0,1038017,497303.0,1.22,"3,75",1.0,3.0,2.0,0.1
2003-06-17,11312.766,313102.0,524533.5,1943123.3,6.3,5.1,5.6,9.2,715000.0,1038017,497303.0,1.22,"3,75",1.0,3.0,2.0,0.1
2003-06-18,11312.766,313102.0,524533.5,1943123.3,6.3,5.1,5.6,9.2,715000.0,1038017,497303.0,1.22,"3,75",1.0,3.0,2.0,0.1
2003-06-19,11312.766,313102.0,524533.5,1943123.3,6.3,5.1,5.6,9.2,715000.0,1038017,497303.0,1.22,"3,75",1.0,3.0,2.0,0.1
